team_code,Nacionalnost,Ime,ID-broj igrača,Specijalnost,Ozljede,Na transfer listi,Dob,Dani,TSI,Iskustvo,Vodstvo,Forma,Izdržljivost,Na vratima,Obrana,Kreiranje,Krilo,Proigravanje,Napad,Prekidi,Utakmice za rep,U21,Reprezentativac,Kategorija,Utakmice za reprezentaciju,Utakmice za U21 reprezentaciju,Reprezentativac!
NT,Hrvatska,Dalibor Reljanović,469302858,Nepredvidiv,,,28,104,519630,10,6,8,7,1,5,16,18,9,3,4,,,,Krilo,0,3,0
NT,Hrvatska,Damjan Faričić,471149619,Igra glavom,,,28,28,413950,9,4,7,7,1,5,7,10,14,18,11,,,,Napadač,3,1,0
NT,Hrvatska,Dane 'Dan the Man' Hrvatić,462049222,Igra glavom,,,31,47,242570,13,4,5,8,1,12,18,6,12,8,9,,,,Srednji vezni,12,4,0
NT,Hrvatska,Dane Volarević,454849243,Igra glavom,,,34,54,50900,16,5,7,7,0,9,18,3,12,7,11,,,,Srednji vezni,6,1,0
NT,Hrvatska,Danijel Polak,453228887,,,,35,3,26490,14,4,3,6,1,15,16,3,8,3,4,,,,Srednji branič,0,0,0
NT,Hrvatska,Danijel Premate,462946833,,,,30,109,304330,12,7,4,8,1,12,18,7,13,10,11,,,,Srednji vezni,1,0,0
NT,Hrvatska,Danijel Selak,460620717,Nepredvidiv,1,,32,10,195480,12,7,8,6,1,12,17,16,9,7,3,,,,Krilo,0,0,0
NT,Hrvatska,Darijo Verić,462279779,Nepredvidiv,,,31,39,176390,11,4,7,8,1,16,10,14,7,3,8,,,,Bočni igrač,0,0,0
NT,Hrvatska,David 'Goliath' Matulović,463430531,Nepredvidiv,,,30,87,325740,11,5,4,8,1,10,16,18,10,4,2,,,,Krilo,6,17,0
NT,Hrvatska,Denis Sablić,458552398,Nepredvidiv,,,33,0,116710,13,3,7,8,1,12,16,4,11,9,22,,,,Srednji vezni,0,0,0
NT,Hrvatska,Dinko Selak,459300397,Igra glavom,,,32,99,175710,11,6,6,8,1,12,17,13,9,2,7,,,,Srednji vezni,0,0,0
NT,Hrvatska,Dinko Žuliček,455285588,,,,34,42,45520,13,4,7,5,1,14,16,3,11,3,12,,,,Srednji vezni,0,0,0
NT,Hrvatska,Dino Ovanin,465094022,Brz,,,30,7,207760,10,3,5,8,2,16,9,15,11,3,8,,,,Bočni igrač,0,0,0
NT,Hrvatska,Dino Sorić,474232848,Brz,,,26,84,434910,8,4,7,7,1,2,13,6,13,16,2,,,,Napadač,4,1,0
NT,Hrvatska,Ðino 'Brzi' Glumičić,463527081,Brz,,,31,10,303110,11,3,8,8,1,2,14,9,13,16,11,,,,Napadač,17,0,1
NT,Hrvatska,Ðino Lamza,471535958,Nepredvidiv,,,27,111,365590,7,1,7,7,2,4,4,5,15,16,3,,,,Napadač,0,0,0
NT,Hrvatska,Domagoj Škugor,472430582,Snažan,1,,27,61,433070,9,4,7,7,1,4,13,6,14,17,4,,,,Napadač,3,12,0
NT,Hrvatska,Domagoj Zekan,462621317,,,,31,24,107430,12,3,6,6,19,16,1,2,1,1,19,,,,Vratar,0,0,0
NT,Hrvatska,Dominik Stanković,474434742,Brz,,,26,69,386080,9,4,8,7,1,4,14,16,13,4,3,,,,Krilo,0,11,0
NT,Hrvatska,Dragan Buhin,469904635,Snažan,,,28,89,404980,9,6,7,8,1,3,14,4,12,17,1,,,,Napadač,0,8,0
NT,Hrvatska,Dragiša 'Brzonogi' Otić,472280798,Brz,,,28,24,367150,8,4,5,7,2,3,11,11,12,17,2,,,,Napadač,0,4,0
NT,Hrvatska,Drago Mišković,462750159,Igra glavom,,,31,25,164630,10,5,7,7,1,18,6,12,7,4,15,,,,Bočni igrač,0,0,0
NT,Hrvatska,Drago Nazor,458457201,Nepredvidiv,,,33,17,106740,14,5,7,7,1,9,18,5,13,6,15,,,,Srednji vezni,4,3,0
NT,Hrvatska,Dragutin Kerić,464452263,Brz,,,30,46,367740,11,4,7,7,1,11,16,17,10,7,2,,,,Krilo,3,0,0
NT,Hrvatska,Dragutin Vajdić,461729801,Brz,,,31,57,330660,9,4,8,6,1,10,17,17,9,7,1,,,,Krilo,0,0,0
NT,Hrvatska,Dragutin Valičević,453382718,Igra glavom,1,,34,105,43910,11,2,7,5,0,7,18,2,14,3,2,,,,Srednji vezni,2,0,0
NT,Hrvatska,Dražen Murgić,453179970,Nepredvidiv,,,35,11,49880,14,5,7,7,1,10,15,16,9,3,16,,,,Krilo,5,0,0
NT,Hrvatska,Dubravko Stijepović,459736423,Snažan,,,32,52,171370,11,4,7,8,1,11,17,13,9,6,7,,,,Srednji vezni,0,0,0
NT,Hrvatska,Eduard Maroević,458646241,Nepredvidiv,,,32,105,242330,13,4,6,8,1,2,14,9,15,17,3,,,,Napadač,11,4,0
NT,Hrvatska,Eduardo Cakarun,458170481,,,,33,51,102530,15,5,6,7,20,15,0,0,0,2,22,,,,Vratar,9,12,1
NT,Hrvatska,Eduardo Vidak,462480182,Nepredvidiv,,,31,29,163920,12,3,6,8,1,15,8,16,9,4,15,,,,Bočni igrač,3,0,0
NT,Hrvatska,Elvis Protega,456996416,Nepredvidiv,,,33,64,132490,14,4,7,7,1,9,17,14,11,3,3,,,,Srednji vezni,0,0,0
NT,Hrvatska,Emanuel Šutalo,464695452,Snažan,,,30,37,265270,10,7,7,7,1,17,14,4,10,3,9,,,,Srednji branič,0,0,0
NT,Hrvatska,Ernest Mladenović,470163827,Nepredvidiv,,,28,70,394340,9,5,7,7,1,12,18,3,10,3,1,,,,Srednji vezni,0,1,0
NT,Hrvatska,Ernest Ralević,455609674,Brz,,,34,29,47840,12,4,7,5,1,12,18,2,12,5,2,,,,Srednji vezni,7,0,0
NT,Hrvatska,Fausto 'Surprise' Annicelli,465843900,Snažan,,,29,88,382580,10,4,6,7,1,16,17,4,8,7,4,,,,Srednji branič,0,1,0
NT,Hrvatska,Filip Vrkić,454362542,Snažan,,,34,80,54930,14,4,6,5,0,14,17,2,12,8,10,,,,Srednji vezni,4,1,0
NT,Hrvatska,Fran Batinić,463919295,Tehničar,,,30,55,366630,12,4,6,7,1,12,18,4,13,8,3,,,,Srednji vezni,13,3,0
NT,Hrvatska,Fran Golik,461781831,Nepredvidiv,,,31,79,103730,10,4,4,6,20,15,3,4,5,2,21,,,,Vratar,5,0,0
NT,Hrvatska,Fran Petravić,461462055,Brz,,,31,80,258140,12,5,7,8,1,12,18,5,10,7,13,,,,Srednji vezni,0,4,0
NT,Hrvatska,Frano Lacmanović,463639473,Igra glavom,,,30,83,268050,10,4,8,8,1,6,9,6,8,19,8,,,,Napadač,0,0,0
NT,Hrvatska,Frano Zanki,454811186,Tehničar,,,34,51,43720,13,1,5,7,1,9,17,1,13,2,18,,,,Srednji vezni,5,0,0
NT,Hrvatska,Gabrijel Barbarić,460360516,Brz,,,32,32,79830,12,4,3,7,1,16,8,14,9,5,16,,,,Bočni igrač,5,0,0
NT,Hrvatska,Gabrijel Šunjo,449783708,Igra glavom,,,36,25,29020,28,3,5,4,1,17,4,16,7,1,11,,,,Bočni igrač,56,37,0
NT,Hrvatska,Gašpar Folo,461643000,Tehničar,,,31,64,324300,12,3,7,8,1,3,17,5,13,16,3,,,,Napadač,0,0,0
NT,Hrvatska,Gašpar Pestić,454751573,Igra glavom,,,34,54,46780,14,6,7,5,1,9,16,14,13,3,16,,,,Srednji vezni,0,0,0
NT,Hrvatska,Gašpar 'Eustahije' Šipić,463431084,Brz,,,30,89,436610,12,3,7,8,1,9,17,17,10,6,2,,,,Krilo,25,15,1
NT,Hrvatska,Gašpar 'Modrić' Trglavčnik,454226418,Igra glavom,,,34,91,66250,18,6,7,7,1,13,17,5,14,3,11,,,,Srednji vezni,21,0,0
NT,Hrvatska,Gavrilo Tošić,459154650,Nepredvidiv,,,32,97,224060,12,2,7,8,1,6,16,17,12,4,7,,,,Krilo,0,5,0
NT,Hrvatska,Gianni Caldiero,466032537,,,,29,74,344550,11,4,7,8,1,16,5,17,9,3,7,,,,Bočni igrač,1,8,0
NT,Hrvatska,Gojko Zeljko,462577329,Brz,,,31,21,309520,9,6,7,7,1,11,15,18,11,4,7,,,,Krilo,1,0,0
NT,Hrvatska,Goran Monteduro,463028575,Snažan,,,30,99,364530,11,1,8,6,1,2,14,11,16,14,3,,,,Napadač,0,15,0
NT,Hrvatska,Goran Rašić,452791606,,,,35,35,71540,20,5,6,7,20,14,0,0,0,0,21,,,,Vratar,32,14,0
NT,Hrvatska,Gordan Marijanović,452764481,,,,35,35,58670,14,6,4,6,20,14,0,1,0,1,21,,,,Vratar,25,7,0
NT,Hrvatska,Gordan Markešić,461803057,Igra glavom,,,31,51,334490,11,3,8,8,1,13,18,2,14,3,3,,,,Srednji vezni,5,0,0
NT,Hrvatska,Grga Trdić,470854602,Brz,,,28,41,332150,9,3,6,7,1,13,17,4,13,2,5,,,,Srednji vezni,0,1,0
NT,Hrvatska,Grgo Crnjak,454486816,Snažan,,,34,74,40240,10,5,6,5,0,15,17,6,7,4,2,,,,Srednji vezni,1,0,0
NT,Hrvatska,Grgo Honović,454389201,Brz,,,34,80,57030,18,6,7,7,1,10,14,17,11,4,15,,,,Krilo,9,15,0
NT,Hrvatska,Grgo Rajš,460630402,Nepredvidiv,,,32,47,79390,11,4,3,6,1,15,14,2,11,3,9,,,,Srednji branič,0,0,0
NT,Hrvatska,Gvozden Končarević,466158285,Snažan,,,29,69,303630,11,4,5,8,2,16,17,3,5,6,1,,,,Srednji branič,0,9,0
NT,Hrvatska,Haris Fatkić,459242147,,,,32,88,247510,16,7,6,8,1,13,18,5,13,4,11,,,,Srednji vezni,11,4,0
NT,Hrvatska,Hrvoje Bezbradica,463423206,Igra glavom,,,30,88,215540,10,4,6,6,1,12,15,5,14,7,2,,,,Srednji vezni,0,4,0
NT,Hrvatska,Hrvoje Prelas,458290597,,,Na transfer listi,33,23,117120,13,4,7,7,1,17,16,3,3,4,7,,,,Srednji branič,0,0,0
NT,Hrvatska,Hrvoje Svjetlanović,462660957,,,,31,15,145450,10,3,8,7,20,15,1,2,2,1,20,,,,Vratar,7,0,1
NT,Hrvatska,Hrvoje Zidarević,455838236,Brz,,,34,36,60460,15,4,6,7,1,13,16,15,7,9,1,,,,Krilo,0,13,0
NT,Hrvatska,Igor Ivanov,466208013,Brz,,,29,60,256320,8,5,7,6,1,4,3,12,12,17,2,,,,Napadač,0,0,0
NT,Hrvatska,Ismail Medić,457927688,Igra glavom,,,34,26,38650,12,7,7,5,1,10,18,4,11,8,4,,,,Srednji vezni,0,0,0
NT,Hrvatska,István Csiernyik,456630296,Tehničar,,,33,91,97760,10,2,6,6,1,4,14,5,13,16,11,,,,Napadač,0,0,0
NT,Hrvatska,István Mikóczi,459217958,Brz,,,32,91,143460,17,7,7,7,1,6,11,16,10,14,8,,,,Napadač,0,22,0
NT,Hrvatska,Ivan Jurkić,466192969,Nepredvidiv,,,29,61,549300,9,2,8,8,1,12,15,19,7,8,1,,,,Krilo,0,5,0
NT,Hrvatska,Ivan Mistrić,457137245,,,,33,54,68720,12,6,6,6,1,16,8,14,9,4,9,,,,Bočni igrač,0,0,0
NT,Hrvatska,Ivano Mandić,469331295,Snažan,,,28,102,443960,10,5,7,7,1,4,7,13,13,17,2,,,,Napadač,0,0,0
NT,Hrvatska,Ivo Kovačević,468128063,Tehničar,,,29,45,451570,9,3,8,7,1,6,18,5,16,4,1,,,,Srednji vezni,0,0,0
NT,Hrvatska,Ivo Ombla,460677178,,,,32,6,162060,11,4,7,7,1,16,14,5,12,2,16,,,,Srednji branič,0,0,0
NT,Hrvatska,Izidor Grgić,465726588,Brz,,,29,99,421030,9,4,8,7,1,5,12,16,9,17,6,,,,Napadač,0,0,0
NT,Hrvatska,Jadran Semenčić,455635066,,,,34,31,35070,12,2,6,7,1,18,7,11,9,1,3,,,,Bočni igrač,0,0,0
NT,Hrvatska,Jadranko Dragaš,459708617,Brz,,,32,54,150130,12,5,8,7,1,3,11,12,12,16,8,,,,Napadač,0,0,0
NT,Hrvatska,Jakov Babin,462297480,Igra glavom,,,31,39,262150,10,3,6,8,1,10,19,5,12,9,5,,,,Srednji vezni,8,0,1
NT,Hrvatska,Jakov Bogdan,460825194,Snažan,,,32,10,209130,10,6,7,8,1,13,18,3,13,5,6,,,,Srednji vezni,0,0,0
NT,Hrvatska,Jakov Perović,469187439,Brz,,,29,3,451220,12,6,7,7,1,14,17,11,9,4,7,,,,Srednji vezni,0,12,0
NT,Hrvatska,Jakov Selak,465004986,Snažan,,,30,17,385060,15,5,8,6,1,14,18,11,9,7,6,,,,Srednji vezni,0,16,0
NT,Hrvatska,Jakša Gračanin,460600415,Nepredvidiv,,,32,50,149950,11,4,6,8,1,17,14,3,9,2,11,,,,Srednji branič,2,0,0
NT,Hrvatska,Jan Majić,461741884,,,,31,59,251340,12,5,6,8,1,13,18,6,12,5,19,,,,Srednji vezni,2,0,0
NT,Hrvatska,Jan Šaran,461301641,,2,,31,91,155270,13,6,4,8,1,16,9,16,10,3,6,,,,Bočni igrač,12,10,0
NT,Hrvatska,Jerko Kornerović,468709093,Tehničar,,,29,83,233970,8,3,4,7,1,16,15,5,12,2,4,,,,Srednji branič,0,0,0
NT,Hrvatska,Jonas Hartman,460438536,Snažan,,,32,24,267930,16,5,7,8,1,3,16,5,12,18,4,,,,Napadač,23,12,1
NT,Hrvatska,Josip Škorput,458495857,,,,33,4,181180,11,6,6,8,1,14,17,4,12,3,15,,,,Srednji vezni,0,0,0
NT,Hrvatska,Joško Ćosić,461740641,Snažan,,,31,64,145950,9,5,4,6,1,18,2,13,10,5,2,,,,Bočni igrač,0,0,0
NT,Hrvatska,Jozo Hojka,464514245,Snažan,,,30,61,403430,9,4,7,6,1,16,14,17,7,2,1,,,,Bočni igrač,5,1,0
NT,Hrvatska,Jozo Pigac,461998744,Igra glavom,,,31,49,278890,11,5,6,7,1,10,18,2,13,10,6,,,,Srednji vezni,4,0,0
NT,Hrvatska,Jura Malvić,460843313,Brz,,,31,104,275670,10,5,6,7,1,5,16,16,13,7,13,,,,Krilo,0,6,0
NT,Hrvatska,Jure Lenac,458676029,,,,32,106,135200,14,4,8,8,20,14,1,0,1,0,20,,,,Vratar,6,9,0
NT,Hrvatska,Jurica 'Kamisar' Bencun,453293093,Tehničar,,,34,111,33270,18,5,6,5,0,9,17,5,12,8,12,,,,Srednji vezni,11,10,0
NT,Hrvatska,Jurica Milošević,473427839,Igra glavom,,,27,11,412820,9,4,7,7,1,11,17,6,13,6,1,,,,Srednji vezni,4,6,0
NT,Hrvatska,Klaudio Hadić,456635533,Brz,,,33,89,83670,13,2,6,7,1,16,11,14,9,2,10,,,,Bočni igrač,1,0,0
NT,Hrvatska,Krešimir Orlović,462190320,,,,31,41,106660,11,4,6,6,18,14,3,1,2,1,20,,,,Vratar,0,6,0
NT,Hrvatska,Kristijan Bobinac,465775900,Nepredvidiv,,,30,24,322780,8,5,7,7,1,5,12,15,10,16,9,,,,Napadač,0,0,0
NT,Hrvatska,Krsto Telak,456655714,Nepredvidiv,,,34,2,98510,13,2,6,5,1,8,17,3,16,6,14,,,,Srednji vezni,0,0,0
NT,Hrvatska,Krunoslav Mihelić,455658476,Nepredvidiv,,,34,30,74340,14,6,7,7,1,13,17,14,9,9,4,,,,Srednji vezni,0,8,0
NT,Hrvatska,Leo Beusan,464529984,,,Na transfer listi,30,41,236600,9,5,4,6,1,18,11,14,7,4,4,,,,Bočni igrač,0,0,0
NT,Hrvatska,Leo Palikuća,460414598,Tehničar,,Na transfer listi,32,30,134800,10,2,5,7,1,8,16,4,14,11,5,,,,Napadač,0,0,0
NT,Hrvatska,Leo Penkala,471156723,Nepredvidiv,,,28,28,295780,7,3,4,7,1,11,15,17,9,8,5,,,,Krilo,3,0,0
NT,Hrvatska,Leon Safundžić,460075243,Igra glavom,,,32,45,149460,11,3,6,8,1,16,15,2,11,4,9,,,,Srednji branič,3,0,0
NT,Hrvatska,Lino Dangubić,458140010,,,,33,28,84540,14,4,5,7,1,14,12,15,11,4,5,,,,Bočni igrač,0,6,0
NT,Hrvatska,Lino Markić,458081670,Tehničar,,,33,35,117430,12,4,6,8,1,3,14,6,16,13,12,,,,Napadač,0,0,0
NT,Hrvatska,Lino Paprika,465050698,Snažan,,,30,10,261580,9,4,5,6,1,18,15,5,7,4,2,,,,Srednji branič,1,0,0
NT,Hrvatska,Lino Šišara,463528146,Igra glavom,,,30,80,326480,10,2,8,8,1,16,16,2,10,3,4,,,,Srednji branič,0,0,0
NT,Hrvatska,Lóránt Tabajdi,460422573,Nepredvidiv,,,32,26,234270,9,6,6,8,1,6,16,18,12,3,15,,,,Krilo,0,0,0
NT,Hrvatska,Lovor 'Cevapcici' Počina,465772983,Nepredvidiv,,,29,96,510290,11,6,8,7,1,11,16,19,5,3,2,,,,Krilo,7,13,0
NT,Hrvatska,Lovor Posavec,459626915,Tehničar,,,32,60,117790,12,6,8,6,1,17,10,6,11,3,13,,,,Srednji branič,0,0,0
NT,Hrvatska,Luka Faris,459302395,Brz,,,32,87,217020,13,5,7,8,1,10,15,17,10,7,7,,,,Krilo,0,0,0
NT,Hrvatska,Luka Garašić,458281527,Igra glavom,,,33,28,143760,15,5,8,8,1,17,16,2,10,3,15,,,,Srednji branič,27,9,1
NT,Hrvatska,Ljudevit Kunić,459214742,Igra glavom,,,32,100,171220,11,3,7,8,1,11,17,13,10,2,8,,,,Srednji vezni,0,0,0
NT,Hrvatska,Marcel Meštrović,456532979,Igra glavom,,,33,97,142590,13,5,8,7,1,10,18,14,9,4,5,,,,Srednji vezni,0,0,0
NT,Hrvatska,Marcelo Jerković,472826394,Nepredvidiv,,,27,51,377210,8,1,7,7,1,16,10,15,9,4,4,,,,Bočni igrač,0,1,0
NT,Hrvatska,Marijan Tičinović,458047803,Snažan,,,33,33,126170,12,4,6,8,2,15,17,4,11,5,15,,,,Srednji vezni,0,0,0
NT,Hrvatska,Marin Hektorović,454594597,Tehničar,,,34,76,40970,13,4,5,5,1,13,17,2,12,5,4,,,,Srednji vezni,0,0,0
NT,Hrvatska,Marin Liposinović,471385434,Igra glavom,,,28,12,322840,9,3,5,7,2,17,15,8,5,3,3,,,,Srednji branič,0,2,0
NT,Hrvatska,Marin 'Veslač' Sinković,469185639,Brz,1,,29,0,241830,10,3,6,8,1,3,11,10,11,17,7,,,,Napadač,0,0,0
NT,Hrvatska,Marin Vrančić,465849082,Nepredvidiv,,,29,90,290300,8,5,6,8,1,16,16,8,6,5,4,,,,Srednji branič,0,0,0
NT,Hrvatska,Mario Bucić,462055947,Igra glavom,,,31,46,236080,12,3,6,8,1,12,18,10,11,2,12,,,,Srednji vezni,0,0,0
NT,Hrvatska,Mario Kruljac,472793936,Nepredvidiv,,,27,49,330650,9,6,5,7,1,16,9,15,9,2,1,,,,Bočni igrač,0,1,0
NT,Hrvatska,Mario 'Super Mario' Tanta,460803900,Tehničar,,,32,9,269650,12,6,8,8,1,3,14,6,17,14,12,,,,Napadač,0,0,0
NT,Hrvatska,Marjan Potočnik,461644868,Igra glavom,,,31,65,331320,13,4,7,8,1,12,16,16,11,7,5,,,,Srednji vezni,2,3,0
NT,Hrvatska,Marko Ažić,468841487,Brz,,,29,24,361610,11,5,6,7,1,3,13,8,11,18,2,,,,Napadač,6,20,0
NT,Hrvatska,Marko Umrlić,460706204,Tehničar,,,32,3,198980,11,3,7,7,1,4,11,12,11,17,10,,,,Napadač,0,0,0
NT,Hrvatska,Martin Furčić,470339070,Brz,,,28,58,239040,10,4,6,7,2,16,9,15,5,3,17,,,,Bočni igrač,0,0,0
NT,Hrvatska,Mateo Kovačić,464809666,Igra glavom,,,30,27,244590,10,1,5,7,1,11,18,6,12,7,11,,,,Srednji vezni,0,0,0
NT,Hrvatska,Mateo Piknjač,452994307,Brz,,,35,22,45780,19,5,5,5,1,10,15,16,12,4,14,,,,Krilo,25,0,0
NT,Hrvatska,Mato Zrnčić,463854575,Snažan,,,30,65,424760,16,7,7,8,1,15,18,8,11,6,10,,,,Srednji vezni,16,25,0
NT,Hrvatska,Mihael Kelečić,463918183,,,,30,55,380590,13,4,6,8,1,12,18,7,13,9,10,,,,Srednji vezni,1,4,0
NT,Hrvatska,Miho Oljica,464846355,Igra glavom,,Na transfer listi,30,35,213080,10,2,8,6,1,16,14,4,9,5,16,,,,Srednji branič,0,0,0
NT,Hrvatska,Miho Palada,463881793,Nepredvidiv,,,30,76,125290,9,4,7,7,19,15,4,5,5,4,17,,,,Vratar,0,0,0
NT,Hrvatska,Mijat Bogićević,459333641,,,,32,81,227450,14,1,6,8,1,13,18,2,13,7,10,,,,Srednji vezni,6,0,0
NT,Hrvatska,Mijo Ban,450280884,Brz,,,35,106,49370,27,4,7,7,0,16,6,16,8,2,10,,,,Bočni igrač,42,24,1
NT,Hrvatska,Mijo Crvelin,453256849,Nepredvidiv,,,35,25,48350,18,5,7,5,1,10,15,16,12,3,14,,,,Krilo,13,15,0
NT,Hrvatska,Mijo Stanić,460225495,,,,32,39,165120,13,4,8,8,1,13,17,5,8,10,20,,,,Srednji vezni,0,0,0
NT,Hrvatska,Milan Simić,462104773,Snažan,,,31,44,322240,14,3,6,8,1,14,19,5,10,8,9,,,,Srednji vezni,15,16,1
NT,Hrvatska,Mile Jerković,457967991,Igra glavom,,,33,36,140640,15,2,7,8,1,10,15,17,11,6,16,,,,Krilo,0,18,0
NT,Hrvatska,Miro Lozo,460876235,Brz,,,31,101,163230,16,4,6,8,1,16,8,15,8,5,18,,,,Bočni igrač,1,1,0
NT,Hrvatska,Miroslav Oliva,469928944,Timski igrač,,,28,87,429440,10,1,7,7,1,17,16,5,8,3,1,,,,Srednji branič,0,0,0
NT,Hrvatska,Mislav Bošnjak,462122905,Snažan,,,31,42,235400,6,5,7,7,1,16,16,3,11,4,9,,,,Srednji branič,1,0,0
NT,Hrvatska,Mislav Kaleb,463439383,Snažan,,,30,88,371960,8,1,7,7,1,5,16,3,13,15,1,,,,Napadač,0,0,0
NT,Hrvatska,Mišo Novičević,474158808,Snažan,,,26,106,359010,8,4,6,7,1,15,17,4,5,6,3,,,,Srednji branič,3,0,0
NT,Hrvatska,Mladen Durbić,466104319,,,,29,68,366380,8,3,8,6,1,17,15,6,10,3,5,,,,Srednji branič,0,3,0
NT,Hrvatska,Mladen Fabijan,456773464,Nepredvidiv,,,33,80,117680,20,5,7,7,1,17,15,3,8,5,16,,,,Srednji branič,41,8,1
