id,country_id,position,created_at,full_name,ht_player_id,team_type,status,notes,last_seen_at,dob,ht_age_years,ht_age_days,training_type,trainer_level,assistants,intensity,stamina_share,ideal_training_score,actual_training_score,nationality,specialty,injury,transfer_listed,age_years,age_days,tsi,experience,leadership,form,stamina,keeper,defending,playmaking,wing,passing,scoring,set_pieces,caps_nt,caps_u21,is_international,category,source,imported_at,note,ht_id,team_id,age,skill_gk,skill_def,skill_pm,skill_wing,skill_pass,skill_score,skill_sp,wage,stamina_pct,training_last,training_now,updated_at
25,,,2026-01-19 15:34:45.048265,Aldo Andrisević,,NT,,,,,,,,,,,,,,Hrvatska,Tehničar,,false,34,84,44760,16,,8,5,1,5,12,8,14,16,2,6,18,,Napadač,portal_tracker,2026-01-19 15:34:45.048265+00,,454326344,3f5ca8b9-d920-4000-bf1e-b906d43c04a4,,,,,,,,,,,,,2026-01-19 15:34:45.048265+00
26,,,2026-01-19 15:34:45.048265,Aleksandar Bregović,,NT,,,,,,,,,,,,,,Hrvatska,Snažan,,false,27,87,483530,9,,7,7,1,4,15,10,9,17,2,4,7,,Napadač,portal_tracker,2026-01-19 15:34:45.048265+00,,472102299,3f5ca8b9-d920-4000-bf1e-b906d43c04a4,,,,,,,,,,,,,2026-01-19 15:34:45.048265+00
27,,,2026-01-19 15:34:45.048265,Aleksandar Štimac,,NT,,,,,,,,,,,,,,Hrvatska,Brz,,false,28,94,270100,8,,8,7,1,16,9,14,8,3,8,0,0,,Bočni igrač,portal_tracker,2026-01-19 15:34:45.048265+00,,469897495,3f5ca8b9-d920-4000-bf1e-b906d43c04a4,,,,,,,,,,,,,2026-01-19 15:34:45.048265+00
28,,,2026-01-19 15:34:45.048265,Alen Orinčić,,NT,,,,,,,,,,,,,,Hrvatska,Brz,,false,32,34,163130,14,,6,6,1,5,17,5,12,14,3,0,5,,Napadač,portal_tracker,2026-01-19 15:34:45.048265+00,,460320436,3f5ca8b9-d920-4000-bf1e-b906d43c04a4,,,,,,,,,,,,,2026-01-19 15:34:45.048265+00
29,,,2026-01-19 15:34:45.048265,Alojzije Lacković,,NT,,,,,,,,,,,,,,Hrvatska,Igra glavom,,false,28,71,460640,8,,7,7,1,9,17,12,13,4,4,0,0,,Srednji vezni,portal_tracker,2026-01-19 15:34:45.048265+00,,470148997,3f5ca8b9-d920-4000-bf1e-b906d43c04a4,,,,,,,,,,,,,2026-01-19 15:34:45.048265+00
30,,,2026-01-19 15:34:45.048265,Alojzije 'Šakal' Šerer,,NT,,,,,,,,,,,,,,Hrvatska,,,false,33,62,131190,16,,7,8,1,12,18,6,12,7,12,0,10,,Srednji vezni,portal_tracker,2026-01-19 15:34:45.048265+00,,456981618,3f5ca8b9-d920-4000-bf1e-b906d43c04a4,,,,,,,,,,,,,2026-01-19 15:34:45.048265+00
31,,,2026-01-19 15:34:45.048265,Aljoša Deverić,,NT,,,,,,,,,,,,,,Hrvatska,,,false,34,4,77230,13,,7,6,0,14,8,17,9,4,11,0,0,,Bočni igrač,portal_tracker,2026-01-19 15:34:45.048265+00,,455969601,3f5ca8b9-d920-4000-bf1e-b906d43c04a4,,,,,,,,,,,,,2026-01-19 15:34:45.048265+00
32,,,2026-01-19 15:34:45.048265,Anđelko Reljić,,NT,,,,,,,,,,,,,,Hrvatska,Tehničar,,false,30,94,378840,8,,8,6,1,17,12,16,6,4,4,5,0,,Bočni igrač,portal_tracker,2026-01-19 15:34:45.048265+00,,463401506,3f5ca8b9-d920-4000-bf1e-b906d43c04a4,,,,,,,,,,,,,2026-01-19 15:34:45.048265+00
33,,,2026-01-19 15:34:45.048265,Anđelko Stražina,,NT,,,,,,,,,,,,,,Hrvatska,Brz,,false,31,110,209120,12,,6,7,1,5,13,12,13,15,17,0,0,,Napadač,portal_tracker,2026-01-19 15:34:45.048265+00,,460766915,3f5ca8b9-d920-4000-bf1e-b906d43c04a4,,,,,,,,,,,,,2026-01-19 15:34:45.048265+00
34,,,2026-01-19 15:34:45.048265,Ante Rasol,,NT,,,,,,,,,,,,,,Hrvatska,Nepredvidiv,,false,31,78,358520,16,,6,8,1,2,15,8,15,17,3,12,21,,Napadač,portal_tracker,2026-01-19 15:34:45.048265+00,,461480327,3f5ca8b9-d920-4000-bf1e-b906d43c04a4,,,,,,,,,,,,,2026-01-19 15:34:45.048265+00
35,,,2026-01-19 15:34:45.048265,Ante Šprljan,,NT,,,,,,,,,,,,,,Hrvatska,Igra glavom,,false,29,10,376810,12,,6,8,1,10,17,15,9,4,10,0,1,,Srednji vezni,portal_tracker,2026-01-19 15:34:45.048265+00,,469028671,3f5ca8b9-d920-4000-bf1e-b906d43c04a4,,,,,,,,,,,,,2026-01-19 15:34:45.048265+00
36,,,2026-01-19 15:34:45.048265,Anto Kukec,,NT,,,,,,,,,,,,,,Hrvatska,Tehničar,,false,30,29,427340,11,,7,7,1,11,16,18,10,7,5,3,2,,Krilo,portal_tracker,2026-01-19 15:34:45.048265+00,,464788148,3f5ca8b9-d920-4000-bf1e-b906d43c04a4,,,,,,,,,,,,,2026-01-19 15:34:45.048265+00
37,,,2026-01-19 15:34:45.048265,Ben '10' Breulj,,NT,,,,,,,,,,,,,,Hrvatska,Nepredvidiv,,false,29,12,394640,13,,7,8,1,5,13,10,11,17,9,14,18,,Napadač,portal_tracker,2026-01-19 15:34:45.048265+00,,469021522,3f5ca8b9-d920-4000-bf1e-b906d43c04a4,,,,,,,,,,,,,2026-01-19 15:34:45.048265+00
38,,,2026-01-19 15:34:45.048265,Ben Lelja,,NT,,,,,,,,,,,,,,Hrvatska,Nepredvidiv,,false,30,43,427680,11,,6,8,1,6,16,17,14,5,3,0,0,,Krilo,portal_tracker,2026-01-19 15:34:45.048265+00,,464765909,3f5ca8b9-d920-4000-bf1e-b906d43c04a4,,,,,,,,,,,,,2026-01-19 15:34:45.048265+00
39,,,2026-01-19 15:34:45.048265,Ben Stanić,,NT,,,,,,,,,,,,,,Hrvatska,Brz,,false,27,44,334950,8,,5,7,1,18,8,13,7,4,4,5,7,,Bočni igrač,portal_tracker,2026-01-19 15:34:45.048265+00,,472923826,3f5ca8b9-d920-4000-bf1e-b906d43c04a4,,,,,,,,,,,,,2026-01-19 15:34:45.048265+00
40,,,2026-01-19 15:34:45.048265,Benjamin Kovačević,,NT,,,,,,,,,,,,,,Hrvatska,Nepredvidiv,,false,31,27,217990,11,,8,6,1,14,18,3,9,5,16,0,0,,Srednji vezni,portal_tracker,2026-01-19 15:34:45.048265+00,,462803078,3f5ca8b9-d920-4000-bf1e-b906d43c04a4,,,,,,,,,,,,,2026-01-19 15:34:45.048265+00
41,,,2026-01-19 15:34:45.048265,Benjamin Školjić,,NT,,,,,,,,,,,,,,Hrvatska,Brz,,false,28,14,322880,7,,6,7,1,15,17,7,7,6,6,3,0,,Srednji branič,portal_tracker,2026-01-19 15:34:45.048265+00,,472282226,3f5ca8b9-d920-4000-bf1e-b906d43c04a4,,,,,,,,,,,,,2026-01-19 15:34:45.048265+00
42,,,2026-01-19 15:34:45.048265,Bernard Jurkin,,NT,,,,,,,,,,,,,,Hrvatska,Nepredvidiv,,false,31,62,240190,11,,7,7,1,17,15,2,6,5,1,0,0,,Srednji branič,portal_tracker,2026-01-19 15:34:45.048265+00,,462081160,3f5ca8b9-d920-4000-bf1e-b906d43c04a4,,,,,,,,,,,,,2026-01-19 15:34:45.048265+00
43,,,2026-01-19 15:34:45.048265,Boris Džoni,,NT,,,,,,,,,,,,,,Hrvatska,Nepredvidiv,,false,32,17,246850,11,,7,7,1,9,17,3,17,4,3,3,0,,Srednji vezni,portal_tracker,2026-01-19 15:34:45.048265+00,,460546312,3f5ca8b9-d920-4000-bf1e-b906d43c04a4,,,,,,,,,,,,,2026-01-19 15:34:45.048265+00
44,,,2026-01-19 15:34:45.048265,Boris Rogomentić,,NT,,,,,,,,,,,,,,Hrvatska,Tehničar,,false,31,99,292710,9,,7,7,1,8,17,15,12,9,1,0,0,,Krilo,portal_tracker,2026-01-19 15:34:45.048265+00,,461208883,3f5ca8b9-d920-4000-bf1e-b906d43c04a4,,,,,,,,,,,,,2026-01-19 15:34:45.048265+00
45,,,2026-01-19 15:34:45.048265,Borna Radov,,NT,,,,,,,,,,,,,,Hrvatska,Nepredvidiv,,false,30,80,201050,10,,8,6,1,15,15,6,10,3,2,0,0,,Srednji branič,portal_tracker,2026-01-19 15:34:45.048265+00,,463522616,3f5ca8b9-d920-4000-bf1e-b906d43c04a4,,,,,,,,,,,,,2026-01-19 15:34:45.048265+00
46,,,2026-01-19 15:34:45.048265,Božidar Lukšić,,NT,,,,,,,,,,,,,,Hrvatska,Igra glavom,,false,32,70,255460,14,,7,8,1,10,16,18,9,3,13,7,0,,Krilo,portal_tracker,2026-01-19 15:34:45.048265+00,,459497841,3f5ca8b9-d920-4000-bf1e-b906d43c04a4,,,,,,,,,,,,,2026-01-19 15:34:45.048265+00
47,,,2026-01-19 15:34:45.048265,Božidar Roca,,NT,,,,,,,,,,,,,,Hrvatska,,,false,35,26,71830,12,,7,5,19,12,0,0,1,1,21,0,0,,Vratar,portal_tracker,2026-01-19 15:34:45.048265+00,,452926133,3f5ca8b9-d920-4000-bf1e-b906d43c04a4,,,,,,,,,,,,,2026-01-19 15:34:45.048265+00
48,,,2026-01-19 15:34:45.048265,Božidar Štefan,,NT,,,,,,,,,,,,,,Hrvatska,,,false,31,68,193330,11,,6,6,1,16,14,6,12,3,10,0,0,,Srednji branič,portal_tracker,2026-01-19 15:34:45.048265+00,,461673792,3f5ca8b9-d920-4000-bf1e-b906d43c04a4,,,,,,,,,,,,,2026-01-19 15:34:45.048265+00
49,,,2026-01-19 15:34:45.048265,Božo 'Ra' Stura,,NT,,,,,,,,,,,,,,Hrvatska,Tehničar,,false,33,34,130740,16,,8,8,1,12,18,2,11,7,12,6,5,,Srednji vezni,portal_tracker,2026-01-19 15:34:45.048265+00,,458027092,3f5ca8b9-d920-4000-bf1e-b906d43c04a4,,,,,,,,,,,,,2026-01-19 15:34:45.048265+00
50,,,2026-01-19 15:34:45.048265,Branimir Ostreš,,NT,,,,,,,,,,,,,,Hrvatska,Igra glavom,2,false,31,93,124850,12,,6,7,1,12,17,2,3,11,17,0,0,,Srednji vezni,portal_tracker,2026-01-19 15:34:45.048265+00,,461782346,3f5ca8b9-d920-4000-bf1e-b906d43c04a4,,,,,,,,,,,,,2026-01-19 15:34:45.048265+00
51,,,2026-01-19 15:34:45.048265,Branko Katuša,,NT,,,,,,,,,,,,,,Hrvatska,Igra glavom,,false,35,19,44790,14,,6,7,0,15,13,14,8,4,10,7,0,,Bočni igrač,portal_tracker,2026-01-19 15:34:45.048265+00,,453024305,3f5ca8b9-d920-4000-bf1e-b906d43c04a4,,,,,,,,,,,,,2026-01-19 15:34:45.048265+00
52,,,2026-01-19 15:34:45.048265,Branko Matarela,,NT,,,,,,,,,,,,,,Hrvatska,,,false,30,9,320930,10,,6,8,1,11,17,5,14,10,10,0,0,,Srednji vezni,portal_tracker,2026-01-19 15:34:45.048265+00,,465060649,3f5ca8b9-d920-4000-bf1e-b906d43c04a4,,,,,,,,,,,,,2026-01-19 15:34:45.048265+00
53,,,2026-01-19 15:34:45.048265,Bruno Galeb,,NT,,,,,,,,,,,,,,Hrvatska,Nepredvidiv,,false,30,93,257960,12,,7,8,1,4,8,7,13,18,7,0,11,,Napadač,portal_tracker,2026-01-19 15:34:45.048265+00,,463405898,3f5ca8b9-d920-4000-bf1e-b906d43c04a4,,,,,,,,,,,,,2026-01-19 15:34:45.048265+00
54,,,2026-01-19 15:34:45.048265,Dalibor Reljanović,,NT,,,,,,,,,,,,,,Hrvatska,Nepredvidiv,,false,28,104,519630,10,,8,7,1,5,16,18,9,3,4,0,3,,Krilo,portal_tracker,2026-01-19 15:34:45.048265+00,,469302858,3f5ca8b9-d920-4000-bf1e-b906d43c04a4,,,,,,,,,,,,,2026-01-19 15:34:45.048265+00
55,,,2026-01-19 15:34:45.048265,Damjan Faričić,,NT,,,,,,,,,,,,,,Hrvatska,Igra glavom,,false,28,28,413950,9,,7,7,1,5,7,10,14,18,11,3,1,,Napadač,portal_tracker,2026-01-19 15:34:45.048265+00,,471149619,3f5ca8b9-d920-4000-bf1e-b906d43c04a4,,,,,,,,,,,,,2026-01-19 15:34:45.048265+00
56,,,2026-01-19 15:34:45.048265,Dane 'Dan the Man' Hrvatić,,NT,,,,,,,,,,,,,,Hrvatska,Igra glavom,,false,31,47,242570,13,,5,8,1,12,18,6,12,8,9,12,4,,Srednji vezni,portal_tracker,2026-01-19 15:34:45.048265+00,,462049222,3f5ca8b9-d920-4000-bf1e-b906d43c04a4,,,,,,,,,,,,,2026-01-19 15:34:45.048265+00
57,,,2026-01-19 15:34:45.048265,Dane Volarević,,NT,,,,,,,,,,,,,,Hrvatska,Igra glavom,,false,34,54,50900,16,,7,7,0,9,18,3,12,7,11,6,1,,Srednji vezni,portal_tracker,2026-01-19 15:34:45.048265+00,,454849243,3f5ca8b9-d920-4000-bf1e-b906d43c04a4,,,,,,,,,,,,,2026-01-19 15:34:45.048265+00
58,,,2026-01-19 15:34:45.048265,Danijel Polak,,NT,,,,,,,,,,,,,,Hrvatska,,,false,35,3,26490,14,,3,6,1,15,16,3,8,3,4,0,0,,Srednji branič,portal_tracker,2026-01-19 15:34:45.048265+00,,453228887,3f5ca8b9-d920-4000-bf1e-b906d43c04a4,,,,,,,,,,,,,2026-01-19 15:34:45.048265+00
59,,,2026-01-19 15:34:45.048265,Danijel Premate,,NT,,,,,,,,,,,,,,Hrvatska,,,false,30,109,304330,12,,4,8,1,12,18,7,13,10,11,1,0,,Srednji vezni,portal_tracker,2026-01-19 15:34:45.048265+00,,462946833,3f5ca8b9-d920-4000-bf1e-b906d43c04a4,,,,,,,,,,,,,2026-01-19 15:34:45.048265+00
60,,,2026-01-19 15:34:45.048265,Danijel Selak,,NT,,,,,,,,,,,,,,Hrvatska,Nepredvidiv,1,false,32,10,195480,12,,8,6,1,12,17,16,9,7,3,0,0,,Krilo,portal_tracker,2026-01-19 15:34:45.048265+00,,460620717,3f5ca8b9-d920-4000-bf1e-b906d43c04a4,,,,,,,,,,,,,2026-01-19 15:34:45.048265+00
61,,,2026-01-19 15:34:45.048265,Darijo Verić,,NT,,,,,,,,,,,,,,Hrvatska,Nepredvidiv,,false,31,39,176390,11,,7,8,1,16,10,14,7,3,8,0,0,,Bočni igrač,portal_tracker,2026-01-19 15:34:45.048265+00,,462279779,3f5ca8b9-d920-4000-bf1e-b906d43c04a4,,,,,,,,,,,,,2026-01-19 15:34:45.048265+00
62,,,2026-01-19 15:34:45.048265,David 'Goliath' Matulović,,NT,,,,,,,,,,,,,,Hrvatska,Nepredvidiv,,false,30,87,325740,11,,4,8,1,10,16,18,10,4,2,6,17,,Krilo,portal_tracker,2026-01-19 15:34:45.048265+00,,463430531,3f5ca8b9-d920-4000-bf1e-b906d43c04a4,,,,,,,,,,,,,2026-01-19 15:34:45.048265+00
63,,,2026-01-19 15:34:45.048265,Denis Sablić,,NT,,,,,,,,,,,,,,Hrvatska,Nepredvidiv,,false,33,0,116710,13,,7,8,1,12,16,4,11,9,22,0,0,,Srednji vezni,portal_tracker,2026-01-19 15:34:45.048265+00,,458552398,3f5ca8b9-d920-4000-bf1e-b906d43c04a4,,,,,,,,,,,,,2026-01-19 15:34:45.048265+00
64,,,2026-01-19 15:34:45.048265,Dinko Selak,,NT,,,,,,,,,,,,,,Hrvatska,Igra glavom,,false,32,99,175710,11,,6,8,1,12,17,13,9,2,7,0,0,,Srednji vezni,portal_tracker,2026-01-19 15:34:45.048265+00,,459300397,3f5ca8b9-d920-4000-bf1e-b906d43c04a4,,,,,,,,,,,,,2026-01-19 15:34:45.048265+00
65,,,2026-01-19 15:34:45.048265,Dinko Žuliček,,NT,,,,,,,,,,,,,,Hrvatska,,,false,34,42,45520,13,,7,5,1,14,16,3,11,3,12,0,0,,Srednji vezni,portal_tracker,2026-01-19 15:34:45.048265+00,,455285588,3f5ca8b9-d920-4000-bf1e-b906d43c04a4,,,,,,,,,,,,,2026-01-19 15:34:45.048265+00
66,,,2026-01-19 15:34:45.048265,Dino Ovanin,,NT,,,,,,,,,,,,,,Hrvatska,Brz,,false,30,7,207760,10,,5,8,2,16,9,15,11,3,8,0,0,,Bočni igrač,portal_tracker,2026-01-19 15:34:45.048265+00,,465094022,3f5ca8b9-d920-4000-bf1e-b906d43c04a4,,,,,,,,,,,,,2026-01-19 15:34:45.048265+00
67,,,2026-01-19 15:34:45.048265,Dino Sorić,,NT,,,,,,,,,,,,,,Hrvatska,Brz,,false,26,84,434910,8,,7,7,1,2,13,6,13,16,2,4,1,,Napadač,portal_tracker,2026-01-19 15:34:45.048265+00,,474232848,3f5ca8b9-d920-4000-bf1e-b906d43c04a4,,,,,,,,,,,,,2026-01-19 15:34:45.048265+00
68,,,2026-01-19 15:34:45.048265,Ðino 'Brzi' Glumičić,,NT,,,,,,,,,,,,,,Hrvatska,Brz,,false,31,10,303110,11,,8,8,1,2,14,9,13,16,11,17,0,,Napadač,portal_tracker,2026-01-19 15:34:45.048265+00,,463527081,3f5ca8b9-d920-4000-bf1e-b906d43c04a4,,,,,,,,,,,,,2026-01-19 15:34:45.048265+00
69,,,2026-01-19 15:34:45.048265,Ðino Lamza,,NT,,,,,,,,,,,,,,Hrvatska,Nepredvidiv,,false,27,111,365590,7,,7,7,2,4,4,5,15,16,3,0,0,,Napadač,portal_tracker,2026-01-19 15:34:45.048265+00,,471535958,3f5ca8b9-d920-4000-bf1e-b906d43c04a4,,,,,,,,,,,,,2026-01-19 15:34:45.048265+00
70,,,2026-01-19 15:34:45.048265,Domagoj Škugor,,NT,,,,,,,,,,,,,,Hrvatska,Snažan,1,false,27,61,433070,9,,7,7,1,4,13,6,14,17,4,3,12,,Napadač,portal_tracker,2026-01-19 15:34:45.048265+00,,472430582,3f5ca8b9-d920-4000-bf1e-b906d43c04a4,,,,,,,,,,,,,2026-01-19 15:34:45.048265+00
71,,,2026-01-19 15:34:45.048265,Domagoj Zekan,,NT,,,,,,,,,,,,,,Hrvatska,,,false,31,24,107430,12,,6,6,19,16,1,2,1,1,19,0,0,,Vratar,portal_tracker,2026-01-19 15:34:45.048265+00,,462621317,3f5ca8b9-d920-4000-bf1e-b906d43c04a4,,,,,,,,,,,,,2026-01-19 15:34:45.048265+00
72,,,2026-01-19 15:34:45.048265,Dominik Stanković,,NT,,,,,,,,,,,,,,Hrvatska,Brz,,false,26,69,386080,9,,8,7,1,4,14,16,13,4,3,0,11,,Krilo,portal_tracker,2026-01-19 15:34:45.048265+00,,474434742,3f5ca8b9-d920-4000-bf1e-b906d43c04a4,,,,,,,,,,,,,2026-01-19 15:34:45.048265+00
73,,,2026-01-19 15:34:45.048265,Dragan Buhin,,NT,,,,,,,,,,,,,,Hrvatska,Snažan,,false,28,89,404980,9,,7,8,1,3,14,4,12,17,1,0,8,,Napadač,portal_tracker,2026-01-19 15:34:45.048265+00,,469904635,3f5ca8b9-d920-4000-bf1e-b906d43c04a4,,,,,,,,,,,,,2026-01-19 15:34:45.048265+00
74,,,2026-01-19 15:34:45.048265,Dragiša 'Brzonogi' Otić,,NT,,,,,,,,,,,,,,Hrvatska,Brz,,false,28,24,367150,8,,5,7,2,3,11,11,12,17,2,0,4,,Napadač,portal_tracker,2026-01-19 15:34:45.048265+00,,472280798,3f5ca8b9-d920-4000-bf1e-b906d43c04a4,,,,,,,,,,,,,2026-01-19 15:34:45.048265+00
75,,,2026-01-19 15:34:45.048265,Drago Mišković,,NT,,,,,,,,,,,,,,Hrvatska,Igra glavom,,false,31,25,164630,10,,7,7,1,18,6,12,7,4,15,0,0,,Bočni igrač,portal_tracker,2026-01-19 15:34:45.048265+00,,462750159,3f5ca8b9-d920-4000-bf1e-b906d43c04a4,,,,,,,,,,,,,2026-01-19 15:34:45.048265+00
76,,,2026-01-19 15:34:45.048265,Drago Nazor,,NT,,,,,,,,,,,,,,Hrvatska,Nepredvidiv,,false,33,17,106740,14,,7,7,1,9,18,5,13,6,15,4,3,,Srednji vezni,portal_tracker,2026-01-19 15:34:45.048265+00,,458457201,3f5ca8b9-d920-4000-bf1e-b906d43c04a4,,,,,,,,,,,,,2026-01-19 15:34:45.048265+00
77,,,2026-01-19 15:34:45.048265,Dragutin Kerić,,NT,,,,,,,,,,,,,,Hrvatska,Brz,,false,30,46,367740,11,,7,7,1,11,16,17,10,7,2,3,0,,Krilo,portal_tracker,2026-01-19 15:34:45.048265+00,,464452263,3f5ca8b9-d920-4000-bf1e-b906d43c04a4,,,,,,,,,,,,,2026-01-19 15:34:45.048265+00
78,,,2026-01-19 15:34:45.048265,Dragutin Vajdić,,NT,,,,,,,,,,,,,,Hrvatska,Brz,,false,31,57,330660,9,,8,6,1,10,17,17,9,7,1,0,0,,Krilo,portal_tracker,2026-01-19 15:34:45.048265+00,,461729801,3f5ca8b9-d920-4000-bf1e-b906d43c04a4,,,,,,,,,,,,,2026-01-19 15:34:45.048265+00
